"","siteID","panel","X.x","xcoord","ycoord","mdcaty.x","wgt","stratum.x","EvalStatus.x","EvalReason","OBJECTID_1","OBJECTID.x","FID_bnl_Se","FID_bnl_ba","Shape_Leng","Area","Acres","Hectares","Shape_Le_1","Shape_Area","coords.x1","coords.x2","X.1","mdcaty.y","stratum.y","OBJECTID.y","F1","EvalStatus.y","EvalWater","EvalBugs","EvalSed","EvalRoot","Date_","Comments","SampleType","Sedtype","SeWater","SeBugs","SeSed","SeRoots","LabSampleNo","PlantType","X.y","Water.NT","Bugs.NT","Sed.NT","Root.NT","Water.TS","Bugs.TS","Sed.TS","Root.TS","Water.TN","Bugs.TN","Sed.TN","Root.TN","init.n","init.area","init.wgt","non.area.adj.wgt.sed","adj.area.sed","adj.wgt.sed","real.area.sed","real.wgt.sed","non.area.adj.wgt.water","adj.area.water","adj.wgt.water","non.area.adj.wgt.bugs","adj.area.bugs","adj.wgt.bugs","non.area.adj.wgt.root","adj.area.root","adj.wgt.root","real.area.root","real.wgt.root"
"12","BNLSe-012","PanelOne",12,470911.3193,5282733.456,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,470911.3193,5282733.456,14,"Flooded","Unit 1",12,12,"TS","NN","NN","TS","NT","6/16/2014 0:00","","S,I","sed",NA,NA,6.82,NA,"12S","",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"13","BNLSe-013","PanelOne",13,471784.7856,5282523.739,"Intermittent",35097.18703,"Unit 1","NotEval",NA,11,21,3,1,24642.02189,421166.2444,104.0724455,42.11662444,24642.02189,421166.2444,471784.7856,5282523.739,219,"Intermittent","Unit 1",13,13,"TS","NN","NN","NT","TS","6/16/2014 0:00","Garrison creeping foxtail and cattail roots","S","roots",NA,NA,NA,17.7,"13S","garrison, cattail",3,0,0,5,8,0,0,8,5,0,0,0,0,12,421166,35097.1666666667,52645.75,259179.076923077,32397.3846153846,378443.64575,47305.45571875,0,0,0,0,0,0,84233.2,161986.923076923,32397.3846153846,42722.35425,8544.47085
"14","BNLSe-014","PanelOne",14,471921.9547,5282034.202,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471921.9547,5282034.202,43,"Flooded","Unit 1",14,14,"TS","NN","NN","TS","NT","7/9/2014 0:00","","S,I","sed",NA,NA,2.49,NA,"14S","",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"15","BNLSe-015","PanelOne",15,471537.6901,5281811.454,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471537.6901,5281811.454,17,"Flooded","Unit 1",15,15,"TS","NN","NN","NT","TS","7/17/2014 0:00","Hardstem bulrush roots","S,I","roots",NA,NA,NA,13.4,"15SR","hardstem bulrush",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"16","BNLSe-016","PanelOne",16,472215.0416,5282140.537,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,472215.0416,5282140.537,45,"Flooded","Unit 1",16,16,"TS","NN","NN","NT","TS","7/9/2014 0:00","Cattail roots","S,I","roots",NA,NA,NA,11.2,"16S","cattail",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"17","BNLSe-017","NewDraw",17,475170.1232,5279358.169,"Flooded",21234.92242,"Unit 4C","NotEval",NA,1,5,1,0,16779.02652,1061746.121,262.3631802,106.1746121,14600.13138,725495.4239,475170.1232,5279358.169,195,"Flooded","Unit 4C",528,0,"TS","TS","TS","TS","NT","7/9/2013 0:00","SampleNo:E17","W,S,I","sed",0.53,3.56,0.5,NA,"E17WSI","",16,58,58,0,64,6,6,8,0,0,0,56,0,60,1061746,17695.7666666667,132718.25,1061746,132718.25,607873.1518,75984.143975,176957.666666667,99538.6875,16589.78125,176957.666666667,99538.6875,16589.78125,0,0,0,453872.8482,0
"18","BNLSe-017","PanelOne",17,471590.2098,5282565.298,"Saturated",24643.37461,"Unit 1","NotEval",NA,27,37,5,1,21372.30071,542154.2414,133.9692306,54.21542414,21372.30071,542154.2414,471590.2098,5282565.298,279,"Saturated","Unit 1",17,17,"TS","NN","NN","NT","TS","6/16/2014 0:00","Garrison creeping foxtail roots","S","roots",NA,NA,NA,9.4,"17SR","garrison",4,0,0,28,1,0,0,1,20,0,0,0,8,22,542154,24643.3636363636,542154,18694.9655172414,18694.9655172414,40947.3485,40947.3485,0,0,0,0,0,0,27107.7,523459.034482759,26172.9517241379,501206.6515,25060.332575
"19","BNLSe-018","PanelOne",18,471807.9808,5281354.942,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471807.9808,5281354.942,20,"Flooded","Unit 1",18,18,"TS","NN","NN","TS","NT","7/1/2014 0:00","","S,I","sed",NA,NA,4.08,NA,"18S","",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"20","BNLSe-019","NewDraw",19,475100.3744,5279343.685,"Flooded",21234.92242,"Unit 4C","NotEval",NA,1,5,1,0,16779.02652,1061746.121,262.3631802,106.1746121,14600.13138,725495.4239,475100.3744,5279343.685,196,"Flooded","Unit 4C",530,0,"TS","TS","TS","TS","NT","7/9/2013 0:00","SampleNo:E19; Only 3g of invertebrates","W,S,I","sed",0.64,2.99,0.54,NA,"E19WSI","",16,58,58,0,64,6,6,8,0,0,0,56,0,60,1061746,17695.7666666667,132718.25,1061746,132718.25,607873.1518,75984.143975,176957.666666667,99538.6875,16589.78125,176957.666666667,99538.6875,16589.78125,0,0,0,453872.8482,0
"21","BNLSe-019","PanelOne",19,471494.3069,5281281.615,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471494.3069,5281281.615,21,"Flooded","Unit 1",19,19,"TS","NN","NN","NT","TS","7/29/2014 0:00","Alkali and Harstem bulrush roots","S","roots",NA,NA,NA,7.71,"19SR","alkali, hardstem bulrush",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"22","BNLSe-020","PanelOne",20,470840.8484,5281725.774,"Saturated",24643.37461,"Unit 1","NotEval",NA,27,37,5,1,21372.30071,542154.2414,133.9692306,54.21542414,21372.30071,542154.2414,470840.8484,5281725.774,269,"Saturated","Unit 1",20,20,"TS","NN","NN","NT","TS","7/1/2014 0:00","Garrison creeping foxtail roots","S","roots",NA,NA,NA,4.09,"20SR","garrison",4,0,0,28,1,0,0,1,20,0,0,0,8,22,542154,24643.3636363636,542154,18694.9655172414,18694.9655172414,40947.3485,40947.3485,0,0,0,0,0,0,27107.7,523459.034482759,26172.9517241379,501206.6515,25060.332575
"23","BNLSe-021","PanelOne",21,471495.7524,5282285.727,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471495.7524,5282285.727,12,"Flooded","Unit 1",21,21,"TS","NN","NN","NT","TS","7/8/2014 0:00","Garrison creeping foxtail; salt sandspurry roots","S","roots",NA,NA,NA,8.73,"21S","garrison, sandspurry",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"24","BNLSe-022","PanelOne",22,471821.229,5281966.931,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471821.229,5281966.931,37,"Flooded","Unit 1",22,22,"TS","NN","NN","TS","NT","7/9/2014 0:00","","S","sed",NA,NA,2.83,NA,"22S","",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"25","BNLSe-023","PanelOne",23,471160.6372,5281485.848,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471160.6372,5281485.848,38,"Flooded","Unit 1",23,23,"TS","NN","NN","NT","TS","7/17/2014 0:00","Cattail roots","S","roots",NA,NA,NA,6.73,"23SR","cattail",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"26","BNLSe-024","PanelOne",24,470780.588,5282613.115,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,470780.588,5282613.115,26,"Flooded","Unit 1",24,24,"TS","NN","NN","NT","TS","6/16/2014 0:00","Reed canary grass roots","S","roots",NA,NA,NA,3.01,"24SR","reed canary",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"27","BNLSe-025","PanelOne",25,471958.79,5282294.043,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471958.79,5282294.043,27,"Flooded","Unit 1",25,25,"TS","NN","NN","NT","TS","7/8/2014 0:00","Cattail roots","S","roots",NA,NA,NA,19.8,"25SR","cattail",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"28","BNLSe-026","PanelOne",26,472062.8489,5281761.033,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,472062.8489,5281761.033,28,"Flooded","Unit 1",26,26,"TS","NN","NN","TS","NT","7/9/2014 0:00","some foxtail barley roots","S","sed",NA,NA,3.5,NA,"26S","foxtail barley",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"29","BNLSe-027","PanelOne",27,471350.8032,5281745.659,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471350.8032,5281745.659,29,"Flooded","Unit 1",27,27,"TS","NN","NN","NT","TS","7/17/2014 0:00","Garrison creeping foxtail roots","S","roots",NA,NA,NA,11.6,"27SR","garrison",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"30","BNLSe-028","PanelOne",28,472503.5339,5282174.865,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,472503.5339,5282174.865,57,"Flooded","Unit 1",28,28,"TS","NN","NN","TS","NT","7/7/2014 0:00","","S","sed",NA,NA,5.57,NA,"28S","",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"31","BNLSe-028b","NewDraw",28,475758.4907,5278132.671,"Flooded",21234.92242,"Unit 4C","NotEval",NA,1,5,1,0,16779.02652,1061746.121,262.3631802,106.1746121,14600.13138,725495.4239,475758.4907,5278132.671,197,"Flooded","Unit 4C",539,0,"TS","TS","TS","TS","NT","7/3/2013 0:00","SampleNo:E28; Only 1g of invertebrates","W,S,I","sed",3.2,3.24,1.08,NA,"E28WSI","",16,58,58,0,64,6,6,8,0,0,0,56,0,60,1061746,17695.7666666667,132718.25,1061746,132718.25,607873.1518,75984.143975,176957.666666667,99538.6875,16589.78125,176957.666666667,99538.6875,16589.78125,0,0,0,453872.8482,0
"32","BNLSe-029","NewDraw",29,474810.1211,5279725.67,"Flooded",21234.92242,"Unit 4C","NotEval",NA,1,5,1,0,16779.02652,1061746.121,262.3631802,106.1746121,14600.13138,725495.4239,474810.1211,5279725.67,194,"Flooded","Unit 4C",540,0,"TS","NT","NT","TS","NT","7/25/2013 0:00","Dry; revisit for sediment only","S","sed",NA,NA,0.7,NA,"E29S","",16,58,58,0,64,6,6,8,0,0,0,56,0,60,1061746,17695.7666666667,132718.25,1061746,132718.25,607873.1518,75984.143975,176957.666666667,99538.6875,16589.78125,176957.666666667,99538.6875,16589.78125,0,0,0,453872.8482,0
"33","BNLSe-029","PanelOne",29,471696.4321,5282448.813,"Saturated",24643.37461,"Unit 1","NotEval",NA,27,37,5,1,21372.30071,542154.2414,133.9692306,54.21542414,21372.30071,542154.2414,471696.4321,5282448.813,278,"Saturated","Unit 1",29,29,"TS","NN","NN","NT","TS","6/16/2014 0:00","Garrison creeping foxtail roots","S","roots",NA,NA,NA,26.3,"29SR","garrison",4,0,0,28,1,0,0,1,20,0,0,0,8,22,542154,24643.3636363636,542154,18694.9655172414,18694.9655172414,40947.3485,40947.3485,0,0,0,0,0,0,27107.7,523459.034482759,26172.9517241379,501206.6515,25060.332575
"34","BNLSe-030","NewDraw",30,475167.4301,5279570.382,"Flooded",21234.92242,"Unit 4C","NotEval",NA,1,5,1,0,16779.02652,1061746.121,262.3631802,106.1746121,14600.13138,725495.4239,475167.4301,5279570.382,198,"Flooded","Unit 4C",541,0,"TS","NT","NT","TS","NT","7/25/2013 0:00","Dry; revisit for sediment only","S","sed",NA,NA,0.54,NA,"E30S","",16,58,58,0,64,6,6,8,0,0,0,56,0,60,1061746,17695.7666666667,132718.25,1061746,132718.25,607873.1518,75984.143975,176957.666666667,99538.6875,16589.78125,176957.666666667,99538.6875,16589.78125,0,0,0,453872.8482,0
"35","BNLSe-030","PanelOne",30,472085.6058,5282060.139,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,472085.6058,5282060.139,59,"Flooded","Unit 1",30,30,"TS","NN","NN","NT","TS","7/9/2014 0:00","Cattail roots; some salt sandspurry","S","roots",NA,NA,NA,19.2,"30SR","cattail, sandspurry",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"36","BNLSe-031","PanelOne",31,471261.2309,5282111.877,"Saturated",24643.37461,"Unit 1","NotEval",NA,27,37,5,1,21372.30071,542154.2414,133.9692306,54.21542414,21372.30071,542154.2414,471261.2309,5282111.877,267,"Saturated","Unit 1",31,31,"TS","NN","NN","NT","TS","7/1/2014 0:00","Garrison creeping foxtail roots","S","roots",NA,NA,NA,5.14,"31SR","garrison",4,0,0,28,1,0,0,1,20,0,0,0,8,22,542154,24643.3636363636,542154,18694.9655172414,18694.9655172414,40947.3485,40947.3485,0,0,0,0,0,0,27107.7,523459.034482759,26172.9517241379,501206.6515,25060.332575
"37","BNLSe-032","PanelOne",32,472229.5236,5281998.697,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,472229.5236,5281998.697,61,"Flooded","Unit 1",32,32,"TS","NN","NN","TS","NT","7/9/2014 0:00","","S","sed",NA,NA,1.61,NA,"32S","",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"38","BNLSe-034","PanelOne",34,471718.146,5281523.494,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471718.146,5281523.494,22,"Flooded","Unit 1",34,34,"TS","NN","NN","TS","NT","7/29/2014 0:00","","S","sed",NA,NA,1.77,NA,"34S","",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"39","BNLSe-035","PanelOne",35,471570.8077,5281518.814,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471570.8077,5281518.814,23,"Flooded","Unit 1",35,35,"TS","NN","NN","TS","NT","7/29/2014 0:00","","S","sed",NA,NA,2.73,NA,"35S","",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"40","BNLSe-036","PanelOne",36,471008.1215,5281789.318,"Saturated",24643.37461,"Unit 1","NotEval",NA,27,37,5,1,21372.30071,542154.2414,133.9692306,54.21542414,21372.30071,542154.2414,471008.1215,5281789.318,271,"Saturated","Unit 1",36,36,"TS","NN","NN","NT","TS","7/1/2014 0:00","Garrison creeping foxtail roots","S","roots",NA,NA,NA,6.52,"36SR","garrison",4,0,0,28,1,0,0,1,20,0,0,0,8,22,542154,24643.3636363636,542154,18694.9655172414,18694.9655172414,40947.3485,40947.3485,0,0,0,0,0,0,27107.7,523459.034482759,26172.9517241379,501206.6515,25060.332575
